year,name,affiliation,country,role,Accomodation Chair,Exhibition Chair,Finance Chair,Local Arrangement Chair,Local Organization Chair,Local Organization Committee,Organization Chair,PacificVAST Workshop Chair,Paper Chair,Poster Chair,Program Chair,Program Committee,Publication Chair,Publicity Chair,Registration Chair,Sponsorship Chair,Steering Committee,Student Volunteer Chair,Symposium Chair,Visual Storytelling Contest Chair,Visualization Notes Chair,Visualization Notes Committee,Webmaster & Design Chair
2016,Conglei Shi,IBM T.J. Watson Research Center,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Conglei Shi,IBM T.J. Watson Research Center,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Conglei Shi,IBM T.J. Watson Research Center,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2012,Daniel Archambault,University College Dublin,IE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Daniel Archambault,University College Dublin,IE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Daniel Archambault,Swansea University,GB,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Daniel Archambault,Swansea University,GB,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Daniel Archambault,Swansea University,GB,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Daniel Archambault,Swansea University,GB,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Daniel Archambault,Swansea University,GB,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Daniel Weiskopf,University of Stuttgart,DE,Paper Chair,,,,,,,,,1,,,,,,,,,,,,,,
2013,Danny Holten,Technische Universiteit Eindhoven,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Danny Holten,SynerScope B.V.,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Danny Holten,SynerScope B.V.,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,David Auber,University of Bordeaux,FR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,David Kao,NASA Ames Research Center,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,David Kao,NASA Ames Research Center,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,David Kao,NASA Ames Research Center,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
