year,name,affiliation,country,role,Accomodation Chair,Exhibition Chair,Finance Chair,Local Arrangement Chair,Local Organization Chair,Local Organization Committee,Organization Chair,PacificVAST Workshop Chair,Paper Chair,Poster Chair,Program Chair,Program Committee,Publication Chair,Publicity Chair,Registration Chair,Sponsorship Chair,Steering Committee,Student Volunteer Chair,Symposium Chair,Visual Storytelling Contest Chair,Visualization Notes Chair,Visualization Notes Committee,Webmaster & Design Chair
2009,Xuebin Chi,Computer Network Information Center CAS,CN,Local Organization Chair,,,,,1,,,,,,,,,,,,,,,,,,
2008,Yasuhiro Watashiba,Kyoto University,JP,Publication Chair,,,,,,,,,,,,,1,,,,,,,,,,
2008,Yasuo Ebara,Kyoto University,JP,Publicity Chair,,,,,,,,,,,,,,1,,,,,,,,,
2011,Ye Zhao,Kent State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Ye Zhao,Kent State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Ye Zhao,Kent State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Ye Zhao,Kent State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Ye Zhao,Kent State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Ye Zhao,Kent State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Yeong Gil Shin,Seoul National University,KR,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2014,Yi Chen,Beijing Technology and Business University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Yi Chen,Beijing Technology and Business University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Yi Chen,Beijing Technology and Business University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2014,Yifan Hu,AT&T Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Yifan Hu,AT&T Research,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Yifan Hu,Yahoo Labs,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Yifan Hu,Yahoo Labs,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2010,Yi-Fan Hu,AT&T Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Yi-Fan Hu,AT&T Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Yi-Fan Hu,AT&T Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Yi-Fan Hu,Yahoo Labs,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Yi-King Choi,University of Hong Kong,HK,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2014,Ying Zhao,Central South University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Ying Zhao,Central South University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Ying Zhao,Central South University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Ying Zhao,Central South University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2011,Yingcai Wu,"University of California, Davis",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Yingcai Wu,"University of California, Davis",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Yingcai Wu,Microsoft Research Asia,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Yingcai Wu,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Yingcai Wu,Zhejiang University,CN,Visualization Notes Chair,,,,,,,,,,,,,,,,,,,,,1,,
2016,Yingcai Wu,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Yingcai Wu,Zhejiang University,CN,Paper Chair,,,,,,,,,1,,,,,,,,,,,,,,
2009,Yizhou Wang,Peking University,CN,Registration Chair,,,,,,,,,,,,,,,1,,,,,,,,
2017,Yosuke Onoue,Kyoto University,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Youn-Ah Kang,Yonsei University,KR,PacificVAST Workshop Chair,,,,,,,,1,,,,,,,,,,,,,,,
2014,Young J. Kim,Ewha Womans University,KR,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2017,Young-Ho Kim,Seoul National University,KR,Webmaster & Design Chair,,,,,,,,,,,,,,,,,,,,,,,1
2015,Yu Shuen Wang,National Chiao Tung University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Yuan-Bang Cheng,National Taiwan University of Science and Technology,TW,Accomodation Chair,1,,,,,,,,,,,,,,,,,,,,,,
2016,Yuan-Chen Lai,National Taiwan University of Science and Technology,TW,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2015,Yubo Tao,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Yubo Tao,Zhejiang University,CN,Publicity Chair,,,,,,,,,,,,,,1,,,,,,,,,
2016,Yubo Tao,Zhejiang University,CN,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2016,Yu-Chi Lai,National Taiwan University of Science and Technology,TW,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2014,Yun Jang,Sejong University,KR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Yun Jang,Sejong University,KR,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Yun Jang,Sejong University,KR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Yun Jang,Sejong University,KR,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Yun Jang,Sejong University,KR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Yun Jang,Sejong University,KR,Visualization Notes Chair,,,,,,,,,,,,,,,,,,,,,1,,
2010,Yung-Yu Chuang,National Taiwan University,TW,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2014,Yunhai Wang,Shenzhen Institutes of Advanced Technology,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Yunhai Wang,Shenzhen Institutes of Advanced Technology,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Yunhai Wang,Shenzhen Institutes of Advanced Technology,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Yunhai Wang,Shenzhen Institutes of Advanced Technology,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Yunhai Wang,Shenzhen Institutes of Advanced Technology,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Yuriko Takeshima,Tohoku University,JP,Finance Chair,,,1,,,,,,,,,,,,,,,,,,,,
2009,Yuru Pei,Peking University,CN,Local Arrangement Chair,,,,1,,,,,,,,,,,,,,,,,,,
2014,Yu-Shuen Wang,National Chiao Tung University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Yu-Shuen Wang,National Chiao Tung University,TW,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2016,Yu-Shuen Wang,National Chiao Tung University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Yu-Shuen Wang,National Chiao Tung University,TW,Visualization Notes Chair,,,,,,,,,,,,,,,,,,,,,1,,
2017,Yu-Shuen Wang,National Chiao Tung University,TW,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2009,Zeng Gang ,Peking University,CN,Registration Chair,,,,,,,,,,,,,,,1,,,,,,,,
2009,Zeyao Mo,Institute of Applied Physics and Computational Mathematics,CN,Local Organization Chair,,,,,1,,,,,,,,,,,,,,,,,,
2015,Zhen Liu,Hangzhou Dianzi University,CN,Finance Chair,,,1,,,,,,,,,,,,,,,,,,,,
2009,Zhou Bin,Beihang University,CN,Student Volunteer Chair,,,,,,,,,,,,,,,,,,1,,,,,
2009,Zhuangzhi Wu,Beihang University,CN,Publicity Chair,,,,,,,,,,,,,,1,,,,,,,,,
